code,label_eng,label_kor,degree,is_age_contra,age_rule,age_reason,is_preg_contra,preg_grade,preg_reason,is_elderly_caution,elderly_reason
D000600,Gliclazide,글리클라지드,1,False,-,-,True,2등급,신생아에서저혈당또는거대아확인. / 임부에대한안전성미확립(글리클라지드)설포닐우레아계약제는태반을통과한다는보고가있고신생아의저혈당|또는거대아가확인되고있음,False,-
D000520,Hemocoagulase,헤모코아귤라제,1,False,-,-,False,-,-,False,-
D000414,Hydrochlorothiazide,히드로클로로티아지드,1,False,-,-,False,-,-,False,-
D000417,Hydroxychloroquine,히드록시클로로퀸,1,False,-,-,True,2등급,유사화합물인인산클로로퀸의고용량투여시와우각손상보고.아미노퀴놀린화합물의이독성(청각|전정독성|선천성귀머거리)을포함한중추신경계손상|망막출혈과비정상적망막색소와의관련보고.,False,-
D000472,Iguratimod,이그라티모드,1,False,-,-,True,2등급,IgG항체는태반통과|임신중에이항체를투여받은환자에서태어난영아의정상면역반응에영향을미쳐최대6개월까지감염위험증가가능성.,False,-
D000168,Ilaprazole,일라프라졸,1,False,-,-,True,2등급,동물실험에서태자독성보고.,False,-
D000760,Iobitridol,이오비트리돌,1,False,-,-,True,2등급,태아갑상선기능저하증유발가능방사선절차는태아기형유발가능,False,-
D000032,IodisedOil,아이오다이즈드오일,1,False,-,-,True,2등급,자궁조영난관술은임부금기일시적이라도뇌손상이나영구적인갑상선기능저하증의위험이있으므로모니터링필요,False,-
D000831,Iodixanol,이오딕사놀,1,False,-,-,True,2등급,태아갑상선기능저하증유발가능방사선절차는태아기형유발가능,False,-
D000669,Iohexol,이오헥솔,1,False,-,-,True,2등급,태아갑상선기능저하증유발가능방사선절차는태아기형유발가능,False,-
D000364,Iomeprol,이오메프롤,1,False,-,-,True,2등급,태아갑상선기능저하증유발가능방사선절차는태아기형유발가능,False,-
D000267,Iopamidol,이오파미돌,1,False,-,-,True,2등급,태아갑상선기능저하증유발가능방사선절차는태아기형유발가능,False,-
D000761,Iopromide,이오프로마이드,1,False,-,-,False,-,-,False,-
D000832,Iotrolan,이오트로란,1,False,-,-,False,-,-,False,-
D000165,Ioversol,이오베르솔,1,False,-,-,True,2등급,태아갑상선기능저하증유발가능방사선절차는태아기형유발가능,False,-
D000268,IoxaglicAcid,이옥사글린산,1,False,-,-,False,-,-,False,-
D000265,Isoniazid,이소니아지드,1,False,-,-,True,2등급,동물실험(마우스)에서태자발육장애가보고,False,-
D000164,Isradipine,이스라디핀,1,False,-,-,False,-,-,False,-
D000615,Lamivudine,라미부딘,1,False,-,-,True,2등급,(Lamivudine)동물실험에서임신초기에태자치사나타남 / (Lamivudine)동물실험에서임신초기에태자치사나타남|(Dolutegravir)임신제1삼분기에는투여를피해야함.수정전부터이약에노출된모체에서난신생아에서신경관결손증유병률이증가됨. / 동물실험에서임신초기에태자치사나타남,False,-
D001072,Ledipasvir,레디파스비르,1,False,-,-,True,2등급,안전성및유효성미확립,False,-
D000616,Lercanidipine,레르카니디핀,1,False,-,-,True,2등급,임신2~3기에ACE저해제투여시태아및신생아의저혈압|고칼륨혈증|신생아두개골발육부전|무뇨증|신부전|양수과소증(태아사지구축|두개안면기형|폐발육부전과관련있음)및사망과관련됨.,False,-
D000793,Levofloxacin,레보플록사신,1,True,18세이하,-안전성및유효성미확립-퀴놀론계항균제는몇몇어린동물종에서관절병증|뼈연골증을유발,True,2등급,임부에대한안전성미확립.,False,-
D000713,Lincomycin,린코마이신,1,False,-,-,True,2등급,-,False,-
D000115,Lornoxicam,로녹시캄,1,True,65세초과 / 18세이하,_,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서난산발생빈도증가|분만지연|태아생존율감소보고.,True,-
D000525,Loxoprofen,록소프로펜,1,False,-,-,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서난산발생빈도증가|분만지연|태아생존율감소보고.,True,-
D000230,Mefenamicacid,메페남산,1,False,-,-,True,2등급,임부에대한안전성미확립.임신말기에투여시태아순환지속증발생보고및태아의동맥관조기폐쇄가능성.동물실험에서난산발생빈도증가|분만지연|태아생존율감소|동맥관수축보고.,True,-
D000467,Mefloquine,메플로퀸,1,False,-,-,True,2등급,동물실험에서고용량투여시기형형성|태자독성나타남.,False,-
D000320,Melphalan,멜팔란,1,False,-,-,True,2등급,알킬화제의기형유발의심증례보고.동물실험에서태자치사및기형유발(뇌의변형(발육부전|기형|수막탈출증|뇌탈출증)및눈의변형(무안구증|소안구증)|하악골과꼬리축소|간낭종등)보고.,False,-
D000120,Menatetrenone,메나테트레논,1,False,-,-,False,-,-,False,-
D000158,Methacycline,메타사이클린,1,True,12세미만,소아등(특히치아형성기인12세미만의소아)에투여시|치아의착색·법랑질형성부전|또는일과성골발육부전을일으킬수있음,True,2등급,태자에일과성골발육부전|영구적치아착색|법랑질형성부전보고.동물실험에서태자독성(주로골격발달지연과관련)및배자독성보고.,False,-
D000425,Metoclopramide,메토클로프라미드,1,True,1세미만,추체외로장애위험성증가,True,2등급,-,False,-
D000004,Metolazone,메톨라존,1,False,-,-,False,-,-,False,-
D000426,Metronidazole,메트로니다졸,1,False,-,-,False,-,-,False,-
D000324,Miconazole,미코나졸,1,False,-,-,False,-,-,False,-
D000632,Modafinil,모다피닐,1,False,-,-,True,2등급,동물실험에서생식독성보고.,False,-
D001817,Monobasicsodiumphosphate,인산수소나트륨무수물,1,False,-,-,False,-,-,False,-
D000081,Nabumetone,나부메톤,1,False,-,-,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서난산발생빈도증가|분만지연|태아생존율감소보고.,True,-
D001080,Nafcillin,나프실린,1,False,-,-,False,-,-,False,-
D000783,NalidixicAcid,날리딕스산,1,True,3개월미만,두개내압을상승시켜두통|구토등의증상이나타날수있음,True,2등급,임부에대한안전성미확립.,False,-
D001451,Natalizumab,나탈리주맙,1,False,-,-,True,2등급,임신후기에투여시태아에일시적인혈소판감소증및빈혈이보고.동물실험에서생식독성보고,False,-
D000604,Netilmicin,네틸마이신,1,False,-,-,True,2등급,신생아에제8뇌신경장애가능성.,False,-
D001365,Netupitant,네투피탄트,1,False,-,-,False,-,-,False,-
D000197,Nifedipine,니페디핀,1,False,-,-,True,2등급,동물실험에서기형발생및배태자독성보고.,False,-
D000083,Nimesulide,니메술리드,1,False,-,-,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서난산발생빈도증가|분만지연|태아생존율감소보고.,True,-
D000755,Octreotide,옥트레오티드,1,False,-,-,True,2등급,임신제1삼분기중에자연유산및인공유산사례보고됨,False,-
D001174,Ombitasvir,옴비타스비르,1,False,-,-,True,2등급,임부에대한안전성미확립.,False,-
D001407,Omidenepagisopropyl,오미데네팍이소프로필,1,False,-,-,True,2등급,임부에대한안전성미확립,False,-
D000470,Ondansetron,온단세트론,1,False,-,-,True,2등급,-,False,-
D000045,OxapiumIodide,요오드화옥사피움,1,False,-,-,False,-,-,False,-
D000262,Oxaprozin,옥사프로진,1,False,-,-,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서난산발생빈도증가|분만지연|태아생존율감소|동맥관수축보고.,False,-
D000261,Oxatomide,옥사토마이드,1,False,-,-,True,2등급,동물실험에서구개열|합지증|지골형성부전등기형발생보고.,False,-
D001091,Oxymetazoline,옥시메타졸린,1,False,-,-,False,-,-,False,-
D001783,Ozanimod,오자니모드,1,False,-,-,True,1등급,-임부에대한안전성미확립-동물실험에서배태자사망|비정상/지연골화|내장및대혈관이상등관찰,False,-
D000386,Pantoprazole,판토프라졸,1,False,-,-,True,2등급,랫트암컷을이용한수태능및일반생식독성시험의고용량(450mg/kg/day)에서분만지연및출생자의사망율증가와성장지연이나타났음.주산|수유기시험의10mg/kg/day이상투여군에서출생자의출생후체중감소가나타남.동물생식연구에서는판토프라졸5mg/kg이상의용량에서약한태자독성의증상이관찰됨.,False,-
D000188,Paricalcitol,파리칼시톨,1,False,-,-,True,2등급,임부에대한안전성미확립동물실험에서인체투여용량인0.24μg/kg의0.5배(체표면적기준|μg/m²)를토끼에게|2배(혈장노출농도기준)를랫트에게매일투여시경미한태자육성감소(5%)보고동물실험에서20μg/kg씩매주3회투여(체표면적기준인체투여용량14μg(0.24μg/kg)의13배)시모태에독성(고칼슘혈증)이있는용량에서랫트신생아의사망률증가보고,False,-
D000397,Penicillamine,디페니실라민,1,False,-,-,True,2등급,기형유발로의심되는증례보고.,False,-
D001456,Pentamidine,펜타미딘,1,False,-,-,True,3등급,동물실험에서유산및뼈형성지연에근거한배아독성보고,False,-
D000702,Pentoxifylline,펜톡시필린,1,False,-,-,True,2등급,임부에대한충분한사용경험없음.,False,-
D001363,Pibrentasvir,피브렌타스비르,1,False,-,-,False,-,-,False,-
D000620,Pramipexole,프라미펙솔,1,False,-,-,True,2등급,임부에대한안전성미확립.동물실험에서과용량투여시태아독성|착상억제등나타남.,False,-
D000703,Pranoprofen,프라노프로펜,1,False,-,-,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서난산발생증가|분만지연|태자생존율감소보고.,True,-
D000305,Pravastatin,프라바스타틴,1,False,-,-,True,1등급,태아발육에필수적인콜레스테롤의생합성감소가능성. / 안전성미확립HMG-CoA환원효소저해제는태아발육에필수적인콜레스테롤의생합성을감소시켜태아에게심각한영향을미칠수있음,False,-
D001818,Praziquantel,프라지콴텔,1,False,-,-,False,-,-,False,-
D000103,Primidone,프리미돈,1,False,-,-,True,2등급,기형아(구순열|구개열)출산및엽산저하보고.신생아에출혈경향|흡수억제|혈액응고장애및금단증상(다동|진전|반사항진|과긴장)가능성.,False,-
D000211,Proglumetacin,프로글루메타신,1,False,-,-,True,2등급,임신말기에투여시태아순환지속증|태아의동맥관수축|동맥관개존증|신부전|장천공|양수과소증발생및신생아에서괴사성장염발생보고.동물실험에서최기형작용|난산발생빈도증가|분만지연|태아생존율감소보고.,True,-
