DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
2716,효능군중복,단일,D000341,Ciprofibrate,시프로피브레이트,-,[M085636]시프로피브레이트,[02180]동맥경화용제,지질저하제,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,Fibrate계,
2676,효능군중복,단일,D000348,Ebastine,에바스틴,-,[M085337]에바스틴/[M088967]에바스틴구형과립,[01410]항히스타민제,호흡기관용약,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,항히스타민제,
2632,효능군중복,단일,D000352,Etizolam,에티졸람,-,[M088371]에티졸람,[01170]정신신경용제,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,항불안제(benzodiazepine계),
2698,효능군중복,단일,D000353,Paroxetine,파록세틴,-,[M050607]염산파록세틴/[M102324]무수염산파록세틴/[M222896]파록세틴염산염수화물/[M234807]파록세틴염산염반수화물,[01170]정신신경용제,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,SSRI,
2688,효능군중복,단일,D000355,Oxiracetam,옥시라세탐,-,[M085324]옥시라세탐,[01190]기타의중추신경용약,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,정신자극제(nootropics),
2603,효능군중복,단일,D000356,Oxycodone,옥시코돈,-,[M040451]염산옥시코돈/[M238042]옥시코돈염산염,[08210]합성마약,마약류아편유사제,20130722,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,아편알칼로이드및유도체,
2618,효능군중복,단일,D000357,Olanzapine,올란자핀,-,[M089222]올란자핀/[M233301]미세올란자핀,[01170]정신신경용제,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,항정신병제(diazepines|oxazepinesandthiaxepines계),
2637,효능군중복,단일,D000362,Imipramine,이미프라민,-,[M223168]이미프라민염산염,[01170]정신신경용제,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,삼환계항우울제(TCA),
2480,효능군중복,단일,D000363,Ibuprofen,이부프로펜,-,[M051259]이부프로펜/[M071015]이부프로펜리신/[M086772]이부프로펜제피세립/[M209277]이부프로펜아르기닌/[M246943]이부프로펜나트륨이수화물,[01140]해열.진통.소염제,해열진통소염제,20120831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,비스테로이드성소염제,
2582,효능군중복,단일,D000367,ZofenoprilCalcium,조페노프릴칼슘,-,[M216353]조페노프릴칼슘,[02140]혈압강하제,혈압강하작용의약품,20121226,안지오텐신전환효소억제제(Angiotensin-Converting-Enzymeinhibitor)와안지오텐신수용체차단제(AngiotensinReceptorBlocker)에해당하는성분이2개이상인경우에도효능군중복에해당,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,ACEinhibitors,
