DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
6434,임부금기,복합,D000493,Guaifenesin,구아이페네신,[D000147]Acetaminophen(아세트아미노펜)/[D000932]Pentoxyverine(펜톡시베린)/[D001093]Galgeun-tang(갈근탕)/[D001266]AnhydrousCaffeine(카페인무수물)/[D000893]Chlorpheniramine(클로르페니라민),[C084556]갈근탕엑스/[C085494]갈근탕엑스분말/[C085503]갈근탕건조엑스/[C086018]갈근탕연조엑스/[C090838]갈근탕엑스과립/[C096410]갈근탕엑스정건조엑스/[C096710]갈근탕건조엑스[10→1]/[C100973]갈근탕엑스(10→1)/[M040353]아세트아미노펜/[M040616]말레인산클로르페니라민/[M050058]구아이페네신/[M050213]말레인산덱스클로르페니라민/[M051529]클로르페니라민/[M082309]아세트아미노펜제피세립/[M082701]디엘말레인산클로르페니라민/[M083325]디말레인산클로르페니라민/[M084556]갈근탕엑스/[M085494]갈근탕엑스분말/[M085503]갈근탕건조엑스/[M086018]갈근탕연조엑스/[M096410]갈근탕엑스정건조엑스/[M096710]갈근탕건조엑스[10→1]/[M099959]말레인산클로로페니라민/[M100018]말레산클로르페니라민/[M100476]디말레인산클로르페니라민/[M100973]갈근탕엑스(10→1)/[M101581]디엘말레인산클로르페니라민/[M103265]갈근탕엑스말(10→1)/[M103916]갈근탕연조엑스(4.32→1)/[M104358]갈근탕엑스말/[M104683]갈근탕건조엑스(6.80→1)/[M104753]갈근탕연조엑스(3.4→1)/[M105329]갈근탕수침건조엑기스/[M105588]갈근탕건조엑스(5.78→1)/[M105816]갈근탕엑스분말(6→1)/[M105833]갈근탕연조엑스(4.17→1)/[M200049]갈근탕엑스가루/[M200134]구연산펜톡시베린/[M200471]말레인산클로르페니라민제피과립/[M202197]D-말레인산클로르페니라민/[M202204]DL-말레인산클로르페니라민/[M203913]클로르페니라민말레인산염/[M212847]클로르페니라민말레이트/[M214453]갈근탕연조엑스(4→1)/[M217483]갈근탕연조엑스(3->1)/[M223183]카페인무수물/[M223211]클로르페니라민말레산염/[M223212]d-클로르페니라민말레산염/[M223213]클로르페니라민말레산염산/[M223214]클로르페니라민말레산염정/[M223215]클로르페니라민말레산염주사액/[M223287]펜톡시베린시트르산염/[M226783]dl-클로르페니라민말레산염/[M229053]갈근탕연조엑스(3.33→1)/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M249715]덱스클로르페니라민말레산염/[M250041]갈근탕엑스(5.81:1)/[M251936]덱스클로르페니라민말레이트/[M252043]갈근탕연조엑스[2.78→1]/[M252386]갈근탕연조엑스(3.33→1)/[M259853]갈근탕건조엑스(6.31:1)/[M260768]갈근탕연조엑스(3.08→1)/[M261860]갈근탕건조엑스(5.6→1)/[M262287]아세트아미노펜과립/[M267754]갈근탕건조엑스(4→1),-,-,20250714,-,경구용액제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6435,임부금기,복합,D000493,Guaifenesin,구아이페네신,[D000147]Acetaminophen(아세트아미노펜)/[D000932]Pentoxyverine(펜톡시베린)/[D001266]AnhydrousCaffeine(카페인무수물),[M040353]아세트아미노펜/[M050058]구아이페네신/[M082309]아세트아미노펜제피세립/[M200134]구연산펜톡시베린/[M223183]카페인무수물/[M223287]펜톡시베린시트르산염/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M262287]아세트아미노펜과립,-,-,20250714,-,경구용액제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5050,임부금기,단일,D001436,Suxamethonium,숙사메토늄,-,[A004415]숙사메토늄/[M110349]숙사메토늄염화물,-,-,20201228,태아에게호흡저하|마비등의부작용발생가능성,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6468,임부금기,복합,D000709,Lidocaine,리도카인,[D001811]IsopropylMethylphenol(이소프로필메틸페놀)/[D001039]Tetrahydrozoline(테트라히드로졸린),[A000951]이소프로필메틸페놀/[M040131]리도카인/[M050364]염산리도카인/[M203064]리도카인염산염일수화물/[M222842]리도카인염산염수화물/[M223237]테트라히드로졸린염산염/[M241764]리도카인염산염,-,-,20201228,-태아서맥또는빈맥|호흡저하등발생가능성-(직장용반고형제)-,직장용겔제,-,-,-,2등급,-,-,-,-,-,-,-,직장용반고형제포함,정상,-,
5063,임부금기,단일,D001081,Rifabutin,리파부틴,-,[I003537]리파부틴/[M089091]리파부틴,-,-,20201228,임부에대한안전성미확립,경질캡슐제|산제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5074,임부금기,단일,D001449,Valaciclovir,발라시클로비르,-,[A004369]발라시클로비르/[M276708]발라시클로비르,-,-,20201228,임부에대한안전성미확립.동물실험에서활성대사물인Acyclovir를과용량(200mg/kg/day)피하투여시랫트의태자기형보고,필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6116,임부금기,복합,D000146,Abiraterone,아비라테론,[D000406]Prednisolone(프레드니솔론),[M040717]프레드니솔론/[M104040]호박산프레드니솔론나트륨/[M223298]프레드니솔론아세테이트/[M256482]프레드니솔론헤미숙시네이트/[M262177]아비라테론아세테이트(미분화),-,-,20161230,임부에대한안전성미확립.모체의호르몬농도변화로인한태아발달에위해가능성.,필름코팅정,-,-,-,1등급,-,-,-,-,-,-,-,-,정상,-,
6461,임부금기,복합,D000764,SodiumPhosphateDibasicDihydrate,인산일수소나트륨,[D000576]SodiumdihydrogenPhosphate(인산이수소나트륨),[M040513]인산일수소나트륨/[M051286]인산이수소나트륨/[M083252]인산이수소나트륨일수화물/[M089733]인산수소나트륨칠수화물/[M228832]인산수소나트륨무수물/[M232835]인산이수소나트륨수화물/[M249575]인산일수소나트륨수화물,-,-,20250714,(정제)-임부에대한안전성미확립(관장제)-,관장제,-,-,-,2등급,-,-,-,-,-,-,-,관장제포함,정상,-,
6091,임부금기,단일,D001746,Lasmiditan,라스미디탄,-,[A110834]라스미디탄헤미,-,-,20240625,-임부에대한안전성미확립.-동물실험에서기형(골격및내장)|골격변화증가|배태자사망률증가|태자체중감소가관찰됨,필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6096,임부금기,단일,D001757,Luspatercept,루스파터셉트,-,[A110826]루스파터셉트,-,-,20240625,-임부에대한안전성미확립-동물실험에서살아있는태자수감소|태자체중감소|재흡수증가|착상후소실증가|골격변이증가|갈비뼈및척추뼈기형이관찰됨,용액용동결건조분말주사제,-,-,-,1등급,-,-,-,-,-,-,-,-,정상,-,
