DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
4282,용량주의,단일,D000061,Terlipressin,테를리프레신,-,[M094177]초산테를리프레신/[M251217]테를리프레신아세트산염,[02410]뇌하수체호르몬제,-,20190621,1일최대용량:12mg(2mg/4hr),용액주사제/용액용동결건조분말주사제,-,-,12밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1751,용량주의,단일,D000062,Temocapril,테모카프릴,-,[M252702]테모카프릴염산염,[02140]혈압강하제,-,20131227,-,정제,-,-,4밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1851,용량주의,단일,D000071,Fenoprofen,페노프로펜,-,[M081085]페노프로펜칼슘,[01140]해열.진통.소염제,-,20150507,Fenoprofen로3g,정제/캡슐,-,-,3그램,-,-,-,-,-,-,-,-,-,정상,-,
1826,용량주의,단일,D000078,Granisetron,그라니세트론,-,[M093643]염산그라니세트론/[M245313]그라니세트론/[M246726]그라니세트론염산염/[M254683]그라니세트론염산염,[02350]최토제|진토제,-,20150331,-,정제/구강붕해정/용액주사제,-,-,그라니세트론9밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1882,용량주의,단일,D000079,Glipizide,글리피지드,-,[M256618]글리피지드,[03960]당뇨병용제,-,20150602,-,정제,-,-,글리피지드40밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1819,용량주의,단일,D000169,Zafirlukast,자피르루카스트,-,[M088674]자피르루카스트,[01490]기타의알레르기용약,-,20141230,-,정제,-,-,자피르루카스트40밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1874,용량주의,단일,D000171,Zolmitriptan,졸미트립탄,-,[M090949]졸미트립탄,[01140]해열.진통.소염제,-,20150507,-,정제,-,-,졸미트립탄10밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1734,용량주의,복합,D000176,Captopril,캅토프릴,[D000414]Hydrochlorothiazide(히드로클로로티아지드),[M080768]히드로클로르치아지드/[M081550]캅토프릴/[M089923]히드로클로로치아짓/[M097694]히드로클로로치아지드/[M223356]히드로클로로티아지드,[02140]혈압강하제,-,20130703,캅토프릴100mg/히드로클로로티아지드50mg,정제,-,-,100밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
812,용량주의,단일,D000176,Captopril,캅토프릴,-,[M081550]캅토프릴,[02140]혈압강하제,-,20130703,-,정제,-,-,400밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
2896,용량주의,복합,D000177,Codeine,코데인,[D000363]Ibuprofen(이부프로펜)/[D000147]Acetaminophen(아세트아미노펜),[M040353]아세트아미노펜/[M051259]이부프로펜/[M071015]이부프로펜리신/[M082309]아세트아미노펜제피세립/[M086772]이부프로펜제피세립/[M206948]인산코데인/[M209277]이부프로펜아르기닌/[M223188]코데인인산염수화물/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M246943]이부프로펜나트륨이수화물/[M262287]아세트아미노펜과립,[08110]아편알카로이드계제제,-,20150507,1일최대용량:코데인120mg|이부프로펜2|400mg|아세트아미노펜3|000mg(복합제),캡슐,-,-,120밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1875,용량주의,단일,D000177,Codeine,코데인,-,[M206948]인산코데인/[M223188]코데인인산염수화물,[08110]아편알카로이드계제제,-,20150507,-,정제,-,-,240밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1750,용량주의,단일,D000178,Quazepam,쿠아제팜,-,[M102600]쿠아제팜,[01120]최면진정제,-,20131227,-,정제,-,-,30밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
3590,용량주의,단일,D000180,Clozapine,클로자핀,-,[M081194]클로자핀,[01170]정신신경용제,-,20180831,-,정제,-,-,900밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
4290,용량주의,단일,D000183,Tetradecyl,테트라데실,-,[M089182]테트라데실황산나트륨콘센트레이트/[M210690]테트라데실황산나트륨,[03390]기타의혈액및체액용약,-,20190621,-,용액주사제,-,-,300밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
5216,용량주의,복합,D000191,Phenylephrine,페닐레프린,[D001268]Chlorpheniraminemaleate(클로르페니라민말레산염),[M040696]염산페닐에프린/[M222724]페닐레프린염산염/[M223211]클로르페니라민말레산염/[M225151]페닐에프린염산염,[01410]항히스타민제,-,20211119,-,정제/시럽,-,-,페닐레프린염산염60밀리그램/클로르페니라민말레산염24밀리그램,-,-,-,-,-,-,-,-,복합제,정상,-,
1858,용량주의,단일,D000195,Naproxen,나프록센,-,[M050116]나프록센,[01140]해열.진통.소염제,-,20150507,-,정제/경구용액제/캡슐,-,-,나프록센1250밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1774,용량주의,단일,D000196,Nisoldipine,니솔디핀,-,[M089893]니솔디핀,[02170]혈관확장제,-,20141024,-,정제/서방정,-,-,니솔디핀40밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1773,용량주의,단일,D000197,Nifedipine,니페디핀,-,[M050164]니페디핀/[M260164]니페디핀(미분화),[02170]혈관확장제,-,20141024,-,정제/서방성필름코팅정,-,-,니페디핀120밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
4511,용량주의,단일,D000203,RamosetronHydrochloride,라모세트론염산염,-,[M246846]라모세트론염산염/[M255325]라모세트론염산염,[02390]기타의소화기관용약,-,20191111,(남성)라모세트론염산염10㎍|(여성)라모세트론염산염5㎍,정제,-,-,(남성)라모세트론염산염10마이크로그램,-,-,-,-,-,-,-,-,-,정상,-,
1827,용량주의,단일,D000203,RamosetronHydrochloride,라모세트론염산염,-,[M246846]라모세트론염산염/[M255325]라모세트론염산염,[02350]최토제|진토제,-,20150331,-,용액주사제,-,-,라모세트론염산염0.6밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
4263,용량주의,단일,D000205,Lacosamide,라코사미드,-,[M250562]라코사미드,[01130]항전간제,-,20190621,-,정제,-,-,라코사미드400밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1876,용량주의,단일,D000207,ChloralHydrate,포수클로랄,-,[M220531]포수클로랄,[01120]최면진정제,-,20150507,-,액상시럽제/건조시럽용과립제,-,-,1그램,-,-,-,-,-,-,-,-,-,정상,-,
1755,용량주의,단일,D000212,FlecainideAcetate,플레카이니드아세테이트,-,[M201704]초산플레카이니드/[M239215]플레카이니드아세테이트/[M257171]플레카이니드아세트산염,[02120]부정맥용제,-,20141024,-,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,600밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1754,용량주의,단일,D000212,FlecainideAcetate,플레카이니드아세테이트,-,[M201704]초산플레카이니드/[M239215]플레카이니드아세테이트/[M257171]플레카이니드아세트산염,[02120]부정맥용제,-,20141024,-,정제,-,-,400밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1805,용량주의,단일,D000213,Pimozide,피모짓,-,[M071691]피모짓,[01170]정신신경용제,-,20141230,-,정제,-,-,9밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1877,용량주의,단일,D000218,Lorazepam,로라제팜,-,[M088374]로라제팜,[01170]정신신경용제,-,20150507,-,정제,-,-,로라제팜10밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1779,용량주의,단일,D000219,Rosuvastatin,로수바스타틴,-,[M095744]로수바스타틴칼슘/[M258559]로수바스타틴칼슘염/[M270546]로수바스타틴칼슘(미분화),[02180]동맥경화용제,-,20141024,-,정제,-,-,로수바스타틴20밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
2884,용량주의,복합,D000220,Losartan,로사르탄,[D000414]Hydrochlorothiazide(히드로클로로티아지드),[M080768]히드로클로르치아지드/[M086307]로자탄칼륨/[M089923]히드로클로로치아짓/[M097694]히드로클로로치아지드/[M201944]포타슘로사탄/[M223356]히드로클로로티아지드/[M248335]로자탄칼륨/[M249673]로사르탄칼륨/[M255575]로사르탄칼륨(로자탄으로서45.8mg)/[M257973]로사르탄칼슘/[M259810]로자르탄칼륨/[M260076]로사르탄칼륨(로사르탄으로서45.8mg),[02140]혈압강하제,-,20131128,로사르탄칼륨100mg|히드로클로로티아지드25mg,정제,-,-,로사르탄칼륨100밀리그램/히드로클로로티아지드25밀리그램,-,-,-,-,-,-,-,-,복합제,정상,-,
1741,용량주의,단일,D000220,Losartan,로사르탄,-,[M086307]로자탄칼륨/[M201944]포타슘로사탄/[M248335]로자탄칼륨/[M249673]로사르탄칼륨/[M255575]로사르탄칼륨(로자탄으로서45.8mg)/[M257973]로사르탄칼슘/[M259810]로자르탄칼륨/[M260076]로사르탄칼륨(로사르탄으로서45.8mg),[02140]혈압강하제,-,20131128,-,정제,-,-,로사르탄칼륨100밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1828,용량주의,단일,D000222,LoperamideHydrochloride,로페라미드염산염,-,[M050356]염산로페라미드/[M222992]로페라미드염산염,[02370]정장제,-,20150331,-,정제/캡슐,-,-,로페라미드염산염16밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
3601,용량주의,단일,D000227,Methocarbamol,메토카르바몰,-,[M050463]메토카르바몰/[M200536]메토카바몰,[01220]골격근이완제,-,20180831,-,용액주사제,-,-,메토카르바몰3그램,-,-,-,-,-,-,-,-,-,정상,-,
2923,용량주의,복합,D000227,Methocarbamol,메토카르바몰,[D000147]Acetaminophen(아세트아미노펜),[M040353]아세트아미노펜/[M050463]메토카르바몰/[M082309]아세트아미노펜제피세립/[M200536]메토카바몰/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M262287]아세트아미노펜과립,[01220]골격근이완제,-,20141230,메토카르바몰3.2g|아세트아미노펜4g,정제,-,-,메토카르바몰3.2그램/아세트아미노펜4그램,-,-,-,-,-,-,-,-,복합제,정상,-,
6112,용량주의,단일,D000229,Methylphenidate,메틸페니데이트,-,[M223025]메틸페니데이트염산염,[01150]각성제|흥분제,-,20240809,-,장용성캡슐제|펠렛,-,-,메틸페니데이트80밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1793,용량주의,단일,D000229,Methylphenidate,메틸페니데이트,-,[M223025]메틸페니데이트염산염,[01150]각성제|흥분제,-,20141230,-,서방성필름코팅정,-,-,메틸페니데이트염산염72밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1792,용량주의,단일,D000229,Methylphenidate,메틸페니데이트,-,[M223025]메틸페니데이트염산염,[01150]각성제|흥분제,-,20141230,-,서방성캡슐제|펠렛/나정,-,-,메틸페니데이트염산염60밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1770,용량주의,단일,D000231,Moxonidine,목소니딘,-,[M085598]목소니딘,[02140]혈압강하제,-,20141024,-,정제,-,-,목소니딘0.6밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1847,용량주의,단일,D000722,Bucillamine,부시라민,-,[M084627]부시라민/[M200702]부실라민,[01140]해열.진통.소염제,-,20150507,-,정제,-,-,부시라민300밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
4519,용량주의,단일,D000723,Vigabatrin,비가바트린,-,[M088971]비가바트린,[01130]항전간제,-,20191111,-,정제,-,-,비가바트린3그램,-,-,-,-,-,-,-,-,-,정상,-,
5424,용량주의,단일,D000135,Vincristine,빈크리스틴,-,[M095696]황산빈크리스틴/[M223068]빈크리스틴황산염,[04210]항악성종양제,-,20231108,-,용액주사제/용액용동결건조분말주사제,-,-,빈크리스틴황산염주1회2밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1811,용량주의,단일,D000139,SelegilineHydrochloride,셀레길린염산염,-,[M222864]셀레길린염산염,[01190]기타의중추신경용약,-,20141230,-,정제,-,-,셀레길린염산염10밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
4513,용량주의,단일,D000140,Cimetidine,시메티딘,-,[M050857]시메티딘/[M096180]염산시메티딘,[02320]소화성궤양용제,-,20191111,-,용액주사제,-,-,시메티딘2그램,-,-,-,-,-,-,-,-,-,정상,-,
1824,용량주의,단일,D000140,Cimetidine,시메티딘,-,[M050857]시메티딘/[M096180]염산시메티딘,[02320]소화성궤양용제,-,20150331,-,정제,-,-,시메티딘2.4그램,-,-,-,-,-,-,-,-,-,정상,-,
1837,용량주의,단일,D000143,Anagrelide,아나그렐리드,-,[M246870]아나그렐리드염산염,[04290]기타의종양치료제,-,20150331,-,캡슐,-,-,아나그렐리드10밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
3584,용량주의,단일,D000145,Aminophylline,아미노필린,-,[M040346]아미노필린/[M223100]아미노필린수화물,[02110]강심제,-,20180831,-,서방정,-,-,아미노필린수화물900밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
5231,용량주의,복합,D000147,Acetaminophen,아세트아미노펜,[D000773]Tramadol(트라마돌)/[D000773]Tramadol(트라마돌),[M040353]아세트아미노펜/[M080418]염산트라마돌/[M082309]아세트아미노펜제피세립/[M104509]염산트라마돌지속성제피과립/[M222893]트라마돌염산염/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M255410]트라마돌염산염/[M262287]아세트아미노펜과립,[01140]해열.진통.소염제,-,20180831,아세트아미노펜2|600mg|트라마돌염산염300mg,정제/서방성필름코팅정,-,-,아세트아미노펜2|600밀리그램,-,-,-,-,-,-,-,-,복합제,정상,-,
5168,용량주의,복합,D000147,Acetaminophen,아세트아미노펜,[D000997]Pamabrom(파마브롬),[M040353]아세트아미노펜/[M082309]아세트아미노펜제피세립/[M082487]파마브롬/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M262287]아세트아미노펜과립,[01140]해열.진통.소염제,-,20210715,아세트아미노펜3|000mg|파마브롬150mg,정제,-,-,아세트아미노펜3|000밀리그램/파마브롬150밀리그램,-,-,-,-,-,-,-,-,복합제,정상,-,
5232,용량주의,복합,D000147,Acetaminophen,아세트아미노펜,[D000155]Ephedrine(에페드린)/[D001266]AnhydrousCaffeine(카페인무수물),[M040353]아세트아미노펜/[M040420]염산에페드린/[M082309]아세트아미노펜제피세립/[M223155]에페드린염산염/[M223183]카페인무수물/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M262287]아세트아미노펜과립,[01140]해열.진통.소염제,-,20180831,모든제형,-,-,-,아세트아미노펜4|000밀리그램,-,-,-,-,-,-,-,-,단일제·복합제포함,정상,-,
3837,용량주의,복합,D000147,Acetaminophen,아세트아미노펜,[D000493]Guaifenesin(구아이페네신)/[D000200]Dextromethorphan(덱스트로메토르판)/[D001101]Riboflavin(리보플라빈)/[D001116]Methylephedrine(메틸에페드린)/[D001106]Ascorbicacid(아스코르브산)/[D000893]Chlorpheniramine(클로르페니라민)/[D000998]Thiamine(티아민),-,[01140]해열.진통.소염제,-,20180831,아세트아미노펜으로서4|000mg/day(모든제형|단일제.복합제포함),-,-,-,4|000밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
3836,용량주의,복합,D000147,Acetaminophen,아세트아미노펜,[D000493]Guaifenesin(구아이페네신)/[D000200]Dextromethorphan(덱스트로메토르판)/[D001101]Riboflavin(리보플라빈)/[D001116]Methylephedrine(메틸에페드린)/[D000448]Pseudoephedrine(슈도에페드린)/[D000893]Chlorpheniramine(클로르페니라민)/[D000998]Thiamine(티아민),-,[01140]해열.진통.소염제,-,20180831,아세트아미노펜으로서4|000mg/day(모든제형|단일제.복합제포함),-,-,-,4|000밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
