DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
4906,노인주의,단일,D000114,Hydroxyzine,히드록시진,-,[M223358]히드록시진염산염,-,-,20200924,-,정제/시럽/나정/액상시럽제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5189,노인주의,단일,D000115,Lornoxicam,로녹시캄,-,[M088931]로녹시캄,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4907,노인주의,단일,D000296,Doxylamine,독시라민,-,[M226319]독시라민석시네이트/[M250452]독시라민숙신산염,-,-,20200924,-,정제/장용정/나정/필름코팅정/연질캡슐제|액상/액상시럽제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4911,노인주의,단일,D000316,Dexbrompheniramine,덱스브롬페니라민,-,[M095060]말레인산덱스브롬페니라민/[M253274]d-브롬페니라민말레산염,-,-,20200924,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
15,노인주의,단일,D000248,Amoxapine,아목사핀,-,[M088554]아목사핀,-,-,20150728,노인에서의삼환계항우울제사용은기립성저혈압|비틀거림|항콜린작용에의한구갈|배뇨곤란|변비|안내압항진등이나타나기쉬움으로소량으로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3612,노인주의,단일,D000276,Chlorprothixene,클로르프로틱센,-,[M051534]클로르프로칙센,-,-,20180831,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
16,노인주의,단일,D000277,Clomipramine,클로미프라민,-,[M223223]클로미프라민염산염,-,-,20150728,노인에서의삼환계항우울제사용은기립성저혈압|비틀거림|항콜린작용에의한구갈|배뇨곤란|변비|안내압항진등이나타나기쉬움으로소량으로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5203,노인주의,단일,D000280,Talniflumate,탈니플루메이트,-,[M081412]탈니플루메이트,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5193,노인주의,단일,D000321,Morniflumate,모니플루메이트,-,[M092795]모니플루메이트,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5208,노인주의,단일,D000357,Olanzapine,올란자핀,-,[M089222]올란자핀/[M233301]미세올란자핀,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
17,노인주의,단일,D000362,Imipramine,이미프라민,-,[M223168]이미프라민염산염,-,-,20140728,노인에서의삼환계항우울제사용은기립성저혈압|비틀거림|항콜린작용에의한구갈|배뇨곤란|변비|안내압항진등이나타나기쉬움으로소량으로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5184,노인주의,단일,D000363,Ibuprofen,이부프로펜,-,[M051259]이부프로펜/[M071015]이부프로펜리신/[M086772]이부프로펜제피세립/[M209277]이부프로펜아르기닌/[M246943]이부프로펜나트륨이수화물,-,-,20210715,-,정제/서방정/캡슐/시럽/용액주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5257,노인주의,단일,D000369,Zotepine,죠테핀,-,[M086840]죠테핀,-,-,20220527,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4913,노인주의,단일,D000374,Clemastine,클레마스틴,-,[M051505]푸마르산클레마스틴/[M223199]클레마스틴푸마르산염,-,-,20200924,-,정제/나정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3,노인주의,단일,D000375,Clonazepam,클로나제팜,-,[M093594]클로나제팜,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
9,노인주의,단일,D000378,Clobasam,클로바잠,-,[M051537]클로바잠,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5194,노인주의,단일,D000081,Nabumetone,나부메톤,-,[M084590]나부메톤,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5202,노인주의,단일,D000644,Sulindac,설린닥,-,[M050765]설린닥,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5173,노인주의,단일,D000651,Cinoxicam,시녹시캄,-,[M084858]시녹시캄,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5187,노인주의,단일,D000672,Ketoprofen,케토프로펜,-,[M051464]케토프로펜/[M081361]케토프로펜리신,-,-,20210715,-,용액주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5174,노인주의,단일,D000675,Clonixin,클로닉신,-,[M080375]클로닉신리시네이트/[M100531]클로닉신리진/[M104025]클로닉신리시네이트/[M212258]클로닉신리신/[M259773]클로닉신리지네이트,-,-,20210715,-,정제/캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4,노인주의,단일,D000676,Clorazepate,클로라제핀산,-,[M088370]클로라제핀산칼륨,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5176,노인주의,단일,D000696,Dexketoprofen,덱스케토프로펜,-,[M213126]덱스케토프로펜트로메타몰,-,-,20210715,-,정제/용액주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5200,노인주의,단일,D000703,Pranoprofen,프라노프로펜,-,[M081426]프라노프로펜,-,-,20210715,-,시럽,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5181,노인주의,단일,D000705,Flurbiprofen,플루르비프로펜,-,[M051827]플루르비프로펜/[M089049]플루르비프로펜/[M106668]플루비프로펜나트륨,-,-,20210715,-,트로키제/로젠지,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5256,노인주의,단일,D000728,Sulpiride,설피리드,-,[M050794]설피리드,-,-,20220527,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4892,노인주의,단일,D000730,Solifenacinsuccinate,솔리페나신숙신산염,-,[I012745]솔리페나신푸마르산염/[M251551]솔리페나신숙신산염/[M259862]솔리페나신숙신산염,-,-,20200924,-,정제/구강붕해정/구강붕해필름/필름코팅정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5170,노인주의,단일,D000739,Aceclofenac,아세클로페낙,-,[M040359]아세클로페낙,-,-,20210715,-,정제/서방정/캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5205,노인주의,단일,D000766,Zaltoprofen,잘토프로펜,-,[M086829]잘토프로펜,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3618,노인주의,단일,D000778,Thiothixene,티오틱센,-,[M259343]티오틱센,-,-,20180831,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3616,노인주의,단일,D000781,Perphenazine,페르페나진,-,[M091367]페르페나진/[M232514]페르페나진염산염,-,-,20180831,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3613,노인주의,단일,D000792,Levomepromazine,레보메프로마진,-,[M222988]레보메프로마진말레산염,-,-,20180831,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
13,노인주의,단일,D000801,Pinazepam,피나제팜,-,[M088433]피나제팜,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
532,노인주의,단일,D000809,Amitriptyline,아미트리프틸린,-,[M040348]염산아미트리프틸린/[M089101]염산아미트리프틸린서방정과립/[M201277]염산아미트리프틸린서방과립/[M223101]아미트리프틸린염산염,-,-,20150728,노인에서의삼환계항우울제사용은기립성저혈압|비틀거림|항콜린작용에의한구갈|배뇨곤란|변비|안내압항진등이나타나기쉬움으로소량으로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4917,노인주의,단일,D000826,Triprolidine,트리프롤리딘,-,[M051642]염산트리프롤리딘/[M241782]트리프롤리딘염산염/[M243192]트리프롤리딘염산염/[M243987]트리프롤리딘염산염/[M244139]트리프롤리딘염산염/[M246366]트리프로리딘염산염/[M250460]트리프롤리딘염산염수화물,-,-,20200924,-,정제/캡슐/시럽,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5204,노인주의,단일,D000837,Tiaprofenicacid,티아프로펜산,-,[M080409]티아프로펜산,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5178,노인주의,단일,D000847,Ethenzamide,에텐자미드,-,[M040417]에텐자미드/[M095771]에덴자미드,-,-,20210715,-,정제/캡슐/과립,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4887,노인주의,단일,D000881,Trihexyphenidyl,트리헥시페니딜,-,[M040671]염산트리헥시페니딜/[M223252]트리헥시페니딜염산염/[M223253]트리헥시페니딜염산염정,-,-,20200924,-,정제/필름코팅정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4888,노인주의,단일,D000883,Procyclidine,프로사이클리딘,-,[M091966]염산프로싸이클리딘/[M251683]프로싸이클리딘염산염,-,-,20200924,-,정제/나정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4850,노인주의,단일,D000893,Chlorpheniramine,클로르페니라민,-,[M040616]말레인산클로르페니라민/[M050213]말레인산덱스클로르페니라민/[M051529]클로르페니라민/[M082701]디엘말레인산클로르페니라민/[M083325]디말레인산클로르페니라민/[M099959]말레인산클로로페니라민/[M100018]말레산클로르페니라민/[M100476]디말레인산클로르페니라민/[M101581]디엘말레인산클로르페니라민/[M200471]말레인산클로르페니라민제피과립/[M202197]D-말레인산클로르페니라민/[M202204]DL-말레인산클로르페니라민/[M203913]클로르페니라민말레인산염/[M212847]클로르페니라민말레이트/[M223211]클로르페니라민말레산염/[M223212]d-클로르페니라민말레산염/[M223213]클로르페니라민말레산염산/[M223214]클로르페니라민말레산염정/[M223215]클로르페니라민말레산염주사액/[M226783]dl-클로르페니라민말레산염/[M249715]덱스클로르페니라민말레산염/[M251936]덱스클로르페니라민말레이트,-,-,20200924,-,정제/캡슐/과립/액제/시럽/용액주사제/나정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4908,노인주의,단일,D000895,Diphenhydramine,디펜히드라민,-,[I006203]디펜히드라민탄느산염/[M040108]디펜히드라민/[M040110]염산디펜히드라민/[M050298]살리실산디펜히드라민/[M082024]구연산디펜히드라민/[M083318]디펜히드라민씨트레이트/[M200130]구연산디펜하이드라민/[M200353]디펜하이드라민/[M201255]염산디펜하이드라민/[M222973]디펜히드라민염산염/[M222974]디펜히드라민염산염주사액/[M222975]디펜히드라민염산염캡슐/[M222976]디펜히드라민탄닌산염/[M254160]디펜히드라민시트르산염/[M257663]디펜히드라민살리실산염,-,-,20200924,-,정제/캡슐/시럽/연질캡슐제|액상/필름코팅정/구강붕해정/건조시럽제|산제/나정/액상시럽제/장용성필름코팅정/용액주사제/경질캡슐제|산제/직장용연고제/피부액제/에어로솔|미분류/피부용겔제/카타플라스마제/지지체가있는첩부제/지지체가없는첩부제/피부크림제/피부리니멘트제/라카/일반액상분무제/포말에어로솔/피부연고제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4903,노인주의,단일,D000896,Pheniramine,페니라민,-,[I002961]페니라민아미노살리실레이트/[I002962]페니라민말레산염/[M051704]말레인산페니라민/[M086103]니스과립디/[M086104]니스과립C-2/[M237022]페니라민말레산염,-,-,20200924,-,시럽,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4902,노인주의,단일,D000897,Piprinhydrinate,피프린히드리네이트,-,[M051889]피프린히드리네이트(콜톤)/[M071547]피프린히드리네이트,-,-,20200924,-,정제/용액주사제/나정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5195,노인주의,단일,D000982,Naproxen,나프록센,-,[M050116]나프록센/[M070724]나프록센나트륨/[M103210]소디움나프록센/[M200898]소듐나프록센,-,-,20210715,-,정제/서방정/캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5198,노인주의,단일,D000983,Piroxicam,피록시캄,-,[M071634]피록시캄/[M084084]피록시캄칼륨/[M085204]피록시캄베타-싸이클로덱스트린/[M204302]피록시캄베타-사이클로덱스트린/[M256428]피록시캄-베타사이클로덱스트린,-,-,20210715,-,정제/캡슐/용액주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4916,노인주의,단일,D000999,Scopolamine,스코폴라민,-,[M086103]니스과립디/[M086104]니스과립C-2/[M223057]부틸스코폴라민브롬화물,-,-,20200924,-,정제/캡슐/서방성경피흡수제/필름코팅정/나정/추어블정(저작정)/용액주사제/경질캡슐제|산제/경구용액제/산제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5199,노인주의,단일,D001004,Polmacoxib,폴마콕시브,-,[I012685]폴마콕시브/[M260872]폴마콕시브,-,-,20210715,-,정제/캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5180,노인주의,단일,D001012,Etoricoxib,에토리콕시브,-,[M260064]에토리콕시브,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
7,노인주의,단일,D000411,Flunitrazepam,플루니트라제팜,-,[M088375]플루니트라제팜,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5211,노인주의,단일,D000422,Risperidone,리스페리돈,-,[M086310]리스페리돈/[M098171]리스페리돈서방성미립구,-,-,20210715,-,정제/서방성현탁액용분말주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5192,노인주의,단일,D000427,Meloxicam,멜록시캄,-,[M086439]멜록시캄,-,-,20210715,-,정제/구강붕해정/캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3615,노인주의,단일,D000431,Molindone,몰린돈,-,[M086757]염산몰린돈/[M256587]몰린돈염산염,-,-,20180831,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4889,노인주의,단일,D000440,Benztropine,벤즈트로핀,-,[M050593]벤즈트로핀메실레이트/[M200496]메실산벤즈트로핀/[M247864]벤즈트로핀메실산염,-,-,20200924,-,정제/나정/용액주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5206,노인주의,단일,D000451,Aripiprazole,아리피프라졸,-,[M096829]아리피프라졸/[M263313]아리피프라졸일수화물,-,-,20210715,-,정제/서방성현탁액용동결건조분말주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5171,노인주의,단일,D000452,Aspirin,아스피린,-,[M040355]아스피린/[M040356]아스피린알루미늄/[M071842]아스피린리신/[M081776]아스피린장용과립/[M082548]아스피린제피세립(아세틸살리실산제피세립)/[M084664]아스피린장용피입자/[M089224]주사용아스피린리신90%/[M246086]아스피린제피세립/[M253914]아스피린장용펠렛/[M264065]아스피린과립,-,-,20210715,-,정제/장용정/캡슐/서방성캡슐제|펠렛/서방성캡슐제|정제펠렛/장용성캡슐제|정제/장용성캡슐제|펠렛/용액용분말주사제/필름코팅정/장용성필름코팅정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5179,노인주의,단일,D000463,Etodolac,에토돌락,-,[M081813]미결정에토돌락/[M083240]에토돌락/[M257127]미분화에토돌락,-,-,20210715,-,정제/서방정/캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
18,노인주의,단일,D000466,Nortriptyline,노르트립틸린,-,[M050132]염산노르트립틸린,-,-,20150728,노인에서의삼환계항우울제사용은기립성저혈압|비틀거림|항콜린작용에의한구갈|배뇨곤란|변비|안내압항진등이나타나기쉬움으로소량으로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5209,노인주의,단일,D000491,Paliperidone,팔리페리돈,-,[M220478]팔리페리돈/[M250479]팔리페리돈팔미테이트,-,-,20210715,-,서방정/서방성필름코팅정/서방성현탁액성주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5177,노인주의,단일,D000506,Diclofenac,디클로페낙,-,[M050288]디클로페낙나트륨/[M083248]디클로페낙/[M083349]디클로페낙베타디메칠아미노에탄올/[M084600]디클로페낙칼륨/[M086205]디클로페낙디에칠암모늄/[M102665]디클로페낙에폴아민/[M230206]디클로페낙β-디메칠아미노에탄올/[M249599]디클로페낙디에틸암모늄/[M251996]디클로페낙베타디메틸아미노에탄올/[M252249]디클로페낙β-디메틸아미노에탄올/[M255472]디클로페낙디에틸아민염/[M256203]디클로페낙디에틸아민,-,-,20210715,-,정제/용액주사제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4897,노인주의,단일,D000512,Fesoterodine,페소테로딘,-,[M242751]페소테로딘푸마르산염,-,-,20200924,-,서방정/서방성필름코팅정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5190,노인주의,단일,D000525,Loxoprofen,록소프로펜,-,[M085577]록소프로펜나트륨/[M222839]록소프로펜나트륨수화물/[M259736]록소푸로펜나트륨수화물,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
12,노인주의,단일,D000529,Mexazolam,멕사졸람,-,[M220309]멕사졸람,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5186,노인주의,단일,D000575,Indometacin,인도메타신,-,[M040508]인도메타신,-,-,20210715,-,캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5210,노인주의,단일,D000583,Quetiapine,쿠에티아핀,-,[M091777]푸마르산쿠에티아핀/[M220436]푸마르산쿠에티아핀/[M228429]쿠에티아핀푸마르산염/[M243782]쿠에티아핀푸마르산염,-,-,20210715,-,정제/서방정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3611,노인주의,단일,D000584,Chlorpromazine,클로르프로마진,-,[M040618]염산클로르프로마진/[M223216]클로르프로마진염산염,-,-,20180831,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4900,노인주의,단일,D000585,Clidinium,클리디늄,-,[M253729]클리디늄브롬화물,-,-,20200924,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4890,노인주의,단일,D001354,Trospium,트로스피움,-,[A001192]트로스퓸/[M250033]트로스퓸염화물,-,-,20200924,-,정제/당의정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4910,노인주의,단일,D001359,Dexchlorpheniramine,덱스클로르페니라민,-,[M116597]덱스클로르페니라민말레산염,-,-,20200924,-,정제/추어블정(저작정)/캡슐/구강붕해필름,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4896,노인주의,단일,D001356,Flavoxate,플라복세이트,-,[A001373]플라복세이트/[M223319]플라복세이트염산염,-,-,20200924,-,정제/당의정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4901,노인주의,단일,D001357,Cimetropium,시메트로퓸,-,[A000660]시메트로퓸/[M257165]시메트로퓸브롬화물,-,-,20200924,-,정제/용액주사제/나정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5255,노인주의,단일,D001557,Loxapine,록사핀,-,[A110490]록사핀,-,-,20220527,-,흡입제|미분류,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4891,노인주의,단일,D001234,Tolterodine,톨터로딘,-,[A001184]톨터로딘,-,-,20200924,-,정제/서방정/서방성필름코팅정/서방성캡슐제|펠렛,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4909,노인주의,단일,D001262,Dimenhydrinate,디멘히드리네이트,-,[A000183]디멘히드리네이트,-,-,20200924,-,정제/추어블정(저작정)/액제/시럽/나정/필름코팅정/껌제/경구용액제/액상시럽제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
