DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
502,특정연령대금기,단일,D000506,Diclofenac,디클로페낙,-,[M050288]디클로페낙나트륨/[M083248]디클로페낙/[M083349]디클로페낙베타디메칠아미노에탄올/[M084600]디클로페낙칼륨/[M086205]디클로페낙디에칠암모늄/[M102665]디클로페낙에폴아민/[M230206]디클로페낙β-디메칠아미노에탄올/[M249599]디클로페낙디에틸암모늄/[M251996]디클로페낙베타디메틸아미노에탄올/[M252249]디클로페낙β-디메틸아미노에탄올/[M255472]디클로페낙디에틸아민염/[M256203]디클로페낙디에틸아민,[01140]해열.진통.소염제,-,20140109,벤질알코올은조숙아에서치명적인가쁜호흡증상과연관이있는것으로보고됨,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,4주미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
561,특정연령대금기,단일,D000523,Lomefloxacin,로메플록사신,-,[M084914]염산로메플록사신/[M229183]로메플록사신염산염,[06290]기타의화학요법제,-,20140109,-안전성및유효성미확립-몇몇어린동물종을이용한동물실험결과관절이상이보고됨,정제/캡슐,18세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
514,특정연령대금기,단일,D000534,Balofloxacin,발로플록사신,-,[M081620]발로플록사신,[06290]기타의화학요법제,-,20141104,-안전성및유효성미확립-다른퀴놀론계항균제는몇몇어린동물종에서관절병증|뼈연골증을유발함,정제,18세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
608,특정연령대금기,복합,D000545,Sulfadiazine,설파디아진,[D000067]Trimethoprim(트리메토프림),[M050774]설파디아진/[M051623]트리메토프림,[06210]설화제,-,20140109,고빌리루빈혈증을일으킬수있음,정제,2개월미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
610,특정연령대금기,복합,D000546,Sulfamethoxazole,설파메톡사졸,[D000067]Trimethoprim(트리메토프림),[M040283]설파메톡사졸/[M051623]트리메토프림/[M081371]설파메톡사졸나트륨,[06210]설화제,-,20140109,고빌리루빈혈증을일으킬수있음,정제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제/액상시럽제/건조시럽용과립제,2개월미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
480,특정연령대금기,단일,D000551,Azelastine,아젤라스틴,-,[M084381]염산아젤라스틴/[M222870]아젤라스틴염산염,[01490]기타의알레르기용약,-,20140109,안전성및유효성미확립,정제,6세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
478,특정연령대금기,단일,D000552,Atomoxetine,아토목세틴,-,[M212533]염산아토목세틴/[M246680]아토목세틴염산염,[01190]기타의중추신경용약,-,20140109,안전성및유효성미확립,캡슐/액상시럽제,6세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
543,특정연령대금기,단일,D000557,Etomidate,에토미데이트,-,[M088929]에토미데이트,[01110]전신마취제,-,20140109,_,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,2세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
526,특정연령대금기,단일,D000558,Efavirenz,에파비렌즈,-,[M088675]에파비렌즈,[06290]기타의화학요법제,-,20150423,-안전성및유효성미확립-소아에서성인에비해발진(Grade3또는4포함)이더높은빈도로보고됨,정제,3개월미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
531,특정연령대금기,단일,D000564,Xylometazoline,키실로메타졸린,-,[M051554]염산키실로메타졸린,[01320]이비과용제,-,20151130,_,일반액상분무제/정량액상분무제/일반분말분무제/정량분말분무제,2세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
530,특정연령대금기,단일,D000564,Xylometazoline,키실로메타졸린,-,[M051554]염산키실로메타졸린,[01320]이비과용제,-,20221215,_,일반액상분무제/정량액상분무제/일반분말분무제/정량분말분무제,12세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
509,특정연령대금기,단일,D000569,Udenafil,유데나필,-,[M102602]유데나필,[02590]기타의비뇨생식기관및항문용약,-,20140109,_,정제,18세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
551,특정연령대금기,단일,D000573,Isopropylantipyrine,이소프로필안티피린,-,[M040499]이소프로필안티피린,[01140]해열.진통.소염제,-,20140109,이소프로필안티피린함유제제(단일제|복합제),정제,15세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
524,특정연령대금기,복합,D000576,SodiumdihydrogenPhosphate,인산이수소나트륨,[D000764]SodiumPhosphateDibasicDihydrate(인산일수소나트륨),[M040513]인산일수소나트륨/[M051286]인산이수소나트륨/[M083252]인산이수소나트륨일수화물/[M089733]인산수소나트륨칠수화물/[M228832]인산수소나트륨무수물/[M232835]인산이수소나트륨수화물/[M249575]인산일수소나트륨수화물,[02380]하제|완장제,-,20150423,신장및심장에심각한손상가능성보고(FDA안전성정보(FDADrugSafetyCommunication)(‘14.1.8)),관장제,3세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
